Flame_retardant_AdditionAmount(wt%),Curing_agent_AdditionAmount(wt%),MW_FR,EEW,AMW_FR,Mp_FR,Mi_FR,RBF_FR,Sp_FR,Curing_Tem1,O%_FR,H%_FR,Si_FR,N%_FR,MCD_FR,MW_EP,C%_FR,Curing_Tem2,ARR_FR,nTA_FR,Curing_Time2,MW_Curing_Agent,RBN_FR,Fsp3_FR,Curing_Time1,Curing_Tem3,nHDon_FR,nDB_FR,AMW_EP,nHet_FR,RFD_FR,AP_FR,AMW_Curing_Agent,nCsp3_FR,nBM_FR,nN_FR,nO_FR,nH_FR,Curing_Time3,max_conj_path_FR,nP_FR,RCI_FR,H-048_FR,GD_FR,NNRS_FR,H-047_FR,H-050_FR,nAA_FR,Mp_Curing_Agent,nArOH_FR,H-052_FR,nHAcc_FR,C-006_FR,Curing_Tem4,nCs_FR,nCbH_FR,C-025_FR,SCBO_FR,nCp_FR,O-059_FR,C-026_FR,nRNHR_FR,O-058_FR,Si_Curing_Agent,nR05_FR,O-057_FR,Rbrid_FR,NRS_FR,H-046_FR,nCb-_FR,nArNH2_FR,nCsp3_Curing_Agent,nHM_FR,nROH_FR,nArOR_FR,O-056_FR,C-005_FR,nBO_FR,nC_FR,C-002_FR,P-116_FR,Sp_Curing_Agent,C%_Curing_Agent,nCt_FR,C-001_FR,LOI
11,17.8,537.64,196,8.146060606,0.701624242,1.119989394,0.115942029,46.3072,120,4.545454545,43.93939394,73.9193,4.545454545,0.648648649,340.45,42.42424242,150,0.6,8,2,198.29,8,0.214285714,2,180,0,3,6.947959184,9,0,0.648648649,6.837586207,6,27,3,3,29,2,14,1,1,0,0.06006006,1,22,0,24,0.675165517,0,0,7,1,120,0,14,2,55,2,0,3,0,3,32.4878,0,0,0,4,6,4,0,1,2,0,0,0,2,40,28,0,1,19.5798,44.82758621,1,2,1
12,17.6,537.64,196,8.146060606,0.701624242,1.119989394,0.115942029,46.3072,120,4.545454545,43.93939394,73.9193,4.545454545,0.648648649,340.45,42.42424242,150,0.6,8,2,198.29,8,0.214285714,2,180,0,3,6.947959184,9,0,0.648648649,6.837586207,6,27,3,3,29,2,14,1,1,0,0.06006006,1,22,0,24,0.675165517,0,0,7,1,120,0,14,2,55,2,0,3,0,3,32.4878,0,0,0,4,6,4,0,1,2,0,0,0,2,40,28,0,1,19.5798,44.82758621,1,2,1
13,17.4,537.64,196,8.146060606,0.701624242,1.119989394,0.115942029,46.3072,120,4.545454545,43.93939394,73.9193,4.545454545,0.648648649,340.45,42.42424242,150,0.6,8,2,198.29,8,0.214285714,2,180,0,3,6.947959184,9,0,0.648648649,6.837586207,6,27,3,3,29,2,14,1,1,0,0.06006006,1,22,0,24,0.675165517,0,0,7,1,120,0,14,2,55,2,0,3,0,3,32.4878,0,0,0,4,6,4,0,1,2,0,0,0,2,40,28,0,1,19.5798,44.82758621,1,2,1
14,17.2,537.64,196,8.146060606,0.701624242,1.119989394,0.115942029,46.3072,120,4.545454545,43.93939394,73.9193,4.545454545,0.648648649,340.45,42.42424242,150,0.6,8,2,198.29,8,0.214285714,2,180,0,3,6.947959184,9,0,0.648648649,6.837586207,6,27,3,3,29,2,14,1,1,0,0.06006006,1,22,0,24,0.675165517,0,0,7,1,120,0,14,2,55,2,0,3,0,3,32.4878,0,0,0,4,6,4,0,1,2,0,0,0,2,40,28,0,1,19.5798,44.82758621,1,2,1
15,17,537.64,196,8.146060606,0.701624242,1.119989394,0.115942029,46.3072,120,4.545454545,43.93939394,73.9193,4.545454545,0.648648649,340.45,42.42424242,150,0.6,8,2,198.29,8,0.214285714,2,180,0,3,6.947959184,9,0,0.648648649,6.837586207,6,27,3,3,29,2,14,1,1,0,0.06006006,1,22,0,24,0.675165517,0,0,7,1,120,0,14,2,55,2,0,3,0,3,32.4878,0,0,0,4,6,4,0,1,2,0,0,0,2,40,28,0,1,19.5798,44.82758621,1,2,1
16,16.8,537.64,196,8.146060606,0.701624242,1.119989394,0.115942029,46.3072,120,4.545454545,43.93939394,73.9193,4.545454545,0.648648649,340.45,42.42424242,150,0.6,8,2,198.29,8,0.214285714,2,180,0,3,6.947959184,9,0,0.648648649,6.837586207,6,27,3,3,29,2,14,1,1,0,0.06006006,1,22,0,24,0.675165517,0,0,7,1,120,0,14,2,55,2,0,3,0,3,32.4878,0,0,0,4,6,4,0,1,2,0,0,0,2,40,28,0,1,19.5798,44.82758621,1,2,1
17,16.6,537.64,196,8.146060606,0.701624242,1.119989394,0.115942029,46.3072,120,4.545454545,43.93939394,73.9193,4.545454545,0.648648649,340.45,42.42424242,150,0.6,8,2,198.29,8,0.214285714,2,180,0,3,6.947959184,9,0,0.648648649,6.837586207,6,27,3,3,29,2,14,1,1,0,0.06006006,1,22,0,24,0.675165517,0,0,7,1,120,0,14,2,55,2,0,3,0,3,32.4878,0,0,0,4,6,4,0,1,2,0,0,0,2,40,28,0,1,19.5798,44.82758621,1,2,1
18,16.4,537.64,196,8.146060606,0.701624242,1.119989394,0.115942029,46.3072,120,4.545454545,43.93939394,73.9193,4.545454545,0.648648649,340.45,42.42424242,150,0.6,8,2,198.29,8,0.214285714,2,180,0,3,6.947959184,9,0,0.648648649,6.837586207,6,27,3,3,29,2,14,1,1,0,0.06006006,1,22,0,24,0.675165517,0,0,7,1,120,0,14,2,55,2,0,3,0,3,32.4878,0,0,0,4,6,4,0,1,2,0,0,0,2,40,28,0,1,19.5798,44.82758621,1,2,1
19,16.2,537.64,196,8.146060606,0.701624242,1.119989394,0.115942029,46.3072,120,4.545454545,43.93939394,73.9193,4.545454545,0.648648649,340.45,42.42424242,150,0.6,8,2,198.29,8,0.214285714,2,180,0,3,6.947959184,9,0,0.648648649,6.837586207,6,27,3,3,29,2,14,1,1,0,0.06006006,1,22,0,24,0.675165517,0,0,7,1,120,0,14,2,55,2,0,3,0,3,32.4878,0,0,0,4,6,4,0,1,2,0,0,0,2,40,28,0,1,19.5798,44.82758621,1,2,1
20,16,537.64,196,8.146060606,0.701624242,1.119989394,0.115942029,46.3072,120,4.545454545,43.93939394,73.9193,4.545454545,0.648648649,340.45,42.42424242,150,0.6,8,2,198.29,8,0.214285714,2,180,0,3,6.947959184,9,0,0.648648649,6.837586207,6,27,3,3,29,2,14,1,1,0,0.06006006,1,22,0,24,0.675165517,0,0,7,1,120,0,14,2,55,2,0,3,0,3,32.4878,0,0,0,4,6,4,0,1,2,0,0,0,2,40,28,0,1,19.5798,44.82758621,1,2,1
1,19.8,404.24,196,10.36512821,0.793715385,1.092212821,0.073170732,30.9549,120,0,46.15384615,42.5963,0,0.857142857,340.45,48.71794872,150,0.782608696,2,2,198.29,3,0.052631579,2,180,0,0,6.947959184,2,0,0.857142857,6.837586207,1,18,0,0,18,2,6,1,1,0,0.10952381,1,18,0,18,0.675165517,0,0,0,0,120,0,15,0,32,0,0,3,0,0,32.4878,0,0,0,3,0,3,0,1,2,0,0,0,1,23,19,0,0,19.5798,44.82758621,0,0,1
